tweet,tweet_length,cleaned_tweet,topic,sentiment
Odisha also needs a leader who can revive cong,46.0,odisha also needs a leader who can revive cong,Politics,Neutral
Bahadurpally to dullapally road conditions is worst. Garbage dumping on road. Ghmc folks close complaint in 1 mins without solving it. Things are getting worst during Congress administration. I shldnt have voted u.,214.0,bahadurpally to dullapally road conditions is worst garbage dumping on road ghmc folks close complaint in  mins without solving it things are getting worst during congress administration i shldnt have voted u,Politics,Neutral
Telangana people want justice... We voted just for you not for revanth.. do justice to us.. don't take all curses and cries of pool and middleclass people we didn't occupy we are not criminals we don't deserve this we pay taxes..stop revanth remove him as cm do justice to people,279.0,telangana people want justice we voted just for you not for revanth do justice to us dont take all curses and cries of pool and middleclass people we didnt occupy we are not criminals we dont deserve this we pay taxesstop revanth remove him as cm do justice to people,Economy,Neutral
How many people your govt make homeless which they bought in years back.. we didn't occupy we bought it legally why only poor and middleclass houses demolishing not demolition his brothers house.. 😢😢 the sin we did is voting for congress we voted for you not for revanth justice,278.0,how many people your govt make homeless which they bought in years back we didnt occupy we bought it legally why only poor and middleclass houses demolishing not demolition his brothers house  the sin we did is voting for congress we voted for you not for revanth justice,Politics,Neutral
संविधान विरोधी कांग्रेस #CongressHataoDeshBachao #ToiletSeatTax #ToiletTax,74.0,congresshataodeshbachao toiletseattax toilettax,Economy,Neutral
संविधान हत्यारी कांग्रेस #SamvidhanSammanSammelan #CongressParty #Congress #HaryanaElection #Maharashtra #MaharashtraElection2024 #HaryanaElection2024,150.0,samvidhansammansammelan congressparty congress haryanaelection maharashtra maharashtraelection haryanaelection,Politics,Neutral
"Jay shree Jagannath, Jay Congress, Jay SAMVIDHAN, Jay Hindustan, Jay INDIAN, Jay Maharashtra, Voice of Nation, LoP, People's Leader, Jananayaak, Hindustan ka awaz Shaan Maan Eman, Rahul Gandhi Jindabad, Jay Hind 🇮🇳.",215.0,jay shree jagannath jay congress jay samvidhan jay hindustan jay indian jay maharashtra voice of nation lop peoples leader jananayaak hindustan ka awaz shaan maan eman rahul gandhi jindabad jay hind,Politics,Negative
I request to all Don't vote for Congress Congress fooled Telangana people,73.0,i request to all dont vote for congress congress fooled telangana people,Politics,Neutral
"कांग्रेस हो या भाजपा ये दोनो संविधान, आरक्षण और दलित विरोधी पार्टी हैं।इसीलिए हरियाणा के जनता से निवेदन है कि आज आप लोग इन जातिवादी मानसिकता वाले पार्टी को वोट देकर खराब न करें। Vote for #bsp_Inld 🔥#बसपा_इनेलो_गठबंधन_जिंदाबाद",225.0,vote for bspinld,Politics,Neutral
We should understand that photo and give it to a good leader who can do good to our country,91.0,we should understand that photo and give it to a good leader who can do good to our country,Politics,Positive
Toilet tax in Himachal Pradesh? This is the khangresss govt achievement...? When will you start in Karnataka..?,111.0,toilet tax in himachal pradesh this is the khangresss govt achievement when will you start in karnataka,Economy,Neutral
Jharkhand में शायद आपलोग की government है l 5 साल में recruitment policy नहीं बना पाएl 5 लाख सरकारी नौकरी तो छोड़ो General में 5 recruitment नहीं किए जो भी exams हुए सभी लिमिटेड subject के थे l शर्म नहीं आती झूठ बोलने में l अब तो तुम गूंगी बन जाओगी झूठ का कुछ न कुछ बोलते रहना है,279.0,jharkhand     government  l    recruitment policy   l       general   recruitment     exams    subject   l       l,Politics,Neutral
Itna besharam neta hai ki harne ke baad courstey mein thanks bhi Nahi Bola. Bapaiti maan Kar rakha hai ki vote denge sab bus family ko,134.0,itna besharam neta hai ki harne ke baad courstey mein thanks bhi nahi bola bapaiti maan kar rakha hai ki vote denge sab bus family ko,Politics,Neutral
"Declare surjewala ji n shailja as cm n deputy cm even before forming government. They look very eager to be cm. GOP knows, how to snatch defeat even when public wanted dem to be in power.",187.0,declare surjewala ji n shailja as cm n deputy cm even before forming government they look very eager to be cm gop knows how to snatch defeat even when public wanted dem to be in power,Politics,Neutral
"Mad Pappu. Whenever Congress lost any election , accused to BJP &amp; ECI. Never investigate own fault.",103.0,mad pappu whenever congress lost any election  accused to bjp amp eci never investigate own fault,Politics,Neutral
vote Kia tabhi to tu kute se suar ban gaya waise mohan Dass ne tujhe aapna sir name deke tere hisse ki bhi ladkiyo ke sath brahmcharya ka prayog kar Liya bechara na to ladki milli na kursi mili ab kaise todega Bharat ko aapne amrican bap ke sath mill kar,254.0,vote kia tabhi to tu kute se suar ban gaya waise mohan dass ne tujhe aapna sir name deke tere hisse ki bhi ladkiyo ke sath brahmcharya ka prayog kar liya bechara na to ladki milli na kursi mili ab kaise todega bharat ko aapne amrican bap ke sath mill kar,Politics,Neutral
Local leaders thinks state is their jagir . shud have fight with &amp; . Central leadership shud leads and give final verdict . It is only way to work. Too much democracy won’t work,181.0,local leaders thinks state is their jagir  shud have fight with amp  central leadership shud leads and give final verdict  it is only way to work too much democracy wont work,Politics,Neutral
Hame aasa he ki aaj haryana &amp; jk election result me INC ki hi jit ho,72.0,hame aasa he ki aaj haryana amp jk election result me inc ki hi jit ho,Politics,Neutral
Vote for congress ❤️❤️🙏,23.0,vote for congress,Politics,Neutral
Rahul ji Congress is not only coming in Power in Haryana but also in other states. In coming elections of other states everywhere congress will be ruling party. Now the day is not far away when you will become the P M .,219.0,rahul ji congress is not only coming in power in haryana but also in other states in coming elections of other states everywhere congress will be ruling party now the day is not far away when you will become the p m,Politics,Neutral
Bhai aab hariyana walon ko toilet tax dena padega,49.0,bhai aab hariyana walon ko toilet tax dena padega,Economy,Neutral
#badlohaalaat #HaryanaElection2024 #HR_Vote4Congress,52.0,badlohaalaat haryanaelection hrvotecongress,Politics,Negative
It is unfortunate if BJP looses in both the states. It shows that voters are still required to be educated. We will see more states moving towards bankruptcy like Himachal Pradesh . Reason -No talent and experts available,221.0,it is unfortunate if bjp looses in both the states it shows that voters are still required to be educated we will see more states moving towards bankruptcy like himachal pradesh  reason no talent and experts available,Politics,Neutral
I’m grateful to Lord Shiva for blessing me as a Hindu &amp; giving me the wisdom to see through Congress’s power-hungry agenda. This clarity helps me recognize how leaders like put political gain above the nation’s true interests.,230.0,im grateful to lord shiva for blessing me as a hindu amp giving me the wisdom to see through congresss powerhungry agenda this clarity helps me recognize how leaders like put political gain above the nations true interests,Politics,Neutral
Rahul Gandhi ji We are Winning Haryana Completely 🔥🇮🇳🔥🇮🇳🔥🇮🇳🇮🇳🇮🇳🔥🇮🇳 ABP News Matrize #ExitPoll predicts Congress Tsunami in Haryana ⚡ INC : 62 🔥 BJP : 18 OTH : 10 #HaryanaAssemblyElections2024,191.0,rahul gandhi ji we are winning haryana completely  abp news matrize exitpoll predicts congress tsunami in haryana  inc    bjp   oth   haryanaassemblyelections,Politics,Neutral
हिमाचल में TOILET TAX लगने के बाद लोटे की बिक्री में भारी उछाल #joke #comedy #fun,81.0,toilet tax          joke comedy fun,Economy,Neutral
Vote bjp ko kiye hai,20.0,vote bjp ko kiye hai,Politics,Neutral
Vote bjp ko kiye hai,20.0,vote bjp ko kiye hai,Politics,Neutral
Vote bjp ko kiye hai,20.0,vote bjp ko kiye hai,Politics,Neutral
Vote bjp ko kiye hai,20.0,vote bjp ko kiye hai,Politics,Neutral
Vote bjp ko kiye hai,20.0,vote bjp ko kiye hai,Politics,Neutral
Vote bjp ko kiye hai,20.0,vote bjp ko kiye hai,Politics,Neutral
Vote bjp ko kiye hai,20.0,vote bjp ko kiye hai,Politics,Neutral
Vote bjp ko kiye hai,20.0,vote bjp ko kiye hai,Politics,Neutral
Vote bjp ko kiye hai,20.0,vote bjp ko kiye hai,Politics,Neutral
Vote bjp ko kiye hai,20.0,vote bjp ko kiye hai,Politics,Neutral
Vote bjp ko kiye hai,20.0,vote bjp ko kiye hai,Politics,Neutral
Vote bjp ko kiye hai,20.0,vote bjp ko kiye hai,Politics,Neutral
Vote bjp ko kiye hai,20.0,vote bjp ko kiye hai,Politics,Neutral
Vote bjp ko kiye hai,20.0,vote bjp ko kiye hai,Politics,Neutral
Vote bjp ko kiye hai,20.0,vote bjp ko kiye hai,Politics,Neutral
Vote bjp ko kiye hai,20.0,vote bjp ko kiye hai,Politics,Neutral
Vote bjp ko kiye hai,20.0,vote bjp ko kiye hai,Politics,Neutral
Vote bjp ko kiye hai,20.0,vote bjp ko kiye hai,Politics,Neutral
Vote bjp ko kiye hai,20.0,vote bjp ko kiye hai,Politics,Neutral
Vote bjp ko kiye hai,20.0,vote bjp ko kiye hai,Politics,Neutral
Vote bjp ko kiye hai,20.0,vote bjp ko kiye hai,Politics,Neutral
Vote bjp ko kiye hai,20.0,vote bjp ko kiye hai,Politics,Neutral
Vote bjp ko kiye hai,20.0,vote bjp ko kiye hai,Politics,Neutral
Vote bjp ko kiye hai,20.0,vote bjp ko kiye hai,Politics,Neutral
Vote bjp ko kiye hai,20.0,vote bjp ko kiye hai,Politics,Neutral
Vote bjp ko kiye hai,20.0,vote bjp ko kiye hai,Politics,Neutral
Vote bjp ko kiye hai,20.0,vote bjp ko kiye hai,Politics,Neutral
Vote bjp ko kiye hai,20.0,vote bjp ko kiye hai,Politics,Neutral
Vote bjp ko kiye hai,20.0,vote bjp ko kiye hai,Politics,Neutral
Vote bjp ko kiye hai,20.0,vote bjp ko kiye hai,Politics,Neutral
Vote bjp ko kiye hai,20.0,vote bjp ko kiye hai,Politics,Neutral
Even in parliamentary elections it is suspected that EVMs were manipulated . One step further in the suspicion is that a foreign country's intelligence may have been sought by the advantaged,190.0,even in parliamentary elections it is suspected that evms were manipulated  one step further in the suspicion is that a foreign countrys intelligence may have been sought by the advantaged,Politics,Neutral
Congressmen must learn micro management of elections,52.0,congressmen must learn micro management of elections,Politics,Neutral
"Congressmen have paid for their complacency in Haryana. Congressmen can't take it easy until the last vote is counted. BJP/RSS are wicked &amp; perverted entities, who can go to any extent- fraud &amp; deceit - to win; after all Gita says act can be justified in discharge of duties",282.0,congressmen have paid for their complacency in haryana congressmen cant take it easy until the last vote is counted bjprss are wicked amp perverted entities who can go to any extent fraud amp deceit  to win after all gita says act can be justified in discharge of duties,Politics,Neutral
"Yes, indeed. All people from Haryana have given full hearted support and threw your idiotic idea and your party into dustbin. Why not you start your factory? You may succeed in the venture as you have veen a succesively failed ok more than 80-90 elections.",256.0,yes indeed all people from haryana have given full hearted support and threw your idiotic idea and your party into dustbin why not you start your factory you may succeed in the venture as you have veen a succesively failed ok more than  elections,Politics,Neutral
I am so glad you are the leader of Congress. Gandhiji's wish of end of Congress will be fulfilled..,99.0,i am so glad you are the leader of congress gandhijis wish of end of congress will be fulfilled,Politics,Neutral
"INDIAN NOW PROUD AND LUCKY FOR THE GREAT INDIAN LEADER SRIMAN RAHUL GANDHI JI THE PERSON OF TWENTY FIRST CENTURY, BECAUSE OF GANDHI JI OF TWENTY FIRST CENTURY THEY THINK SEFTY THEMSELVES DUE TO BJP'S AND IT'S WILDECONOMEY THE NATION FACE DIFFICULTIES AND MUCH HAZARD",266.0,indian now proud and lucky for the great indian leader sriman rahul gandhi ji the person of twenty first century because of gandhi ji of twenty first century they think sefty themselves due to bjps and its wildeconomey the nation face difficulties and much hazard,Politics,Positive
Is the election free now? EVM trustworthy?,42.0,is the election free now evm trustworthy,Politics,Neutral
Please dont vote congress we telagana people are suffering🙏save your State form congress before you vote just call any of you friends in telagana,145.0,please dont vote congress we telagana people are sufferingsave your state form congress before you vote just call any of you friends in telagana,Politics,Neutral
Ye ghar ki roti aap elections ke baad khane kyu nh aaty ho??,60.0,ye ghar ki roti aap elections ke baad khane kyu nh aaty ho,Politics,Neutral
Vote for congress. I will vote for congress today,49.0,vote for congress i will vote for congress today,Politics,Neutral
Why this drama of eating at common people residence during elections &amp; paad yatras by all the politicians? It’s basically to insult them. See we are leaders and powerful yet eating in a poor person’s home.,209.0,why this drama of eating at common people residence during elections amp paad yatras by all the politicians its basically to insult them see we are leaders and powerful yet eating in a poor persons home,Politics,Neutral
"In Bangladesh, minority persecution is ongoing, every day somewhere in the country temples are attacked, idols are vandalized, Hindu property is looted, Hindu women are kidnapped and raped, The government of Bangladesh talks about remedies but in reality it is null and void.",275.0,in bangladesh minority persecution is ongoing every day somewhere in the country temples are attacked idols are vandalized hindu property is looted hindu women are kidnapped and raped the government of bangladesh talks about remedies but in reality it is null and void,Politics,Neutral
✍️✍️✍️ #HaryanaElection2024,27.0,haryanaelection,Politics,Neutral
HIMACHAL KA BHI BOL DE NAA THODA SA WO TOILET TAX KA KYA HUA,60.0,himachal ka bhi bol de naa thoda sa wo toilet tax ka kya hua,Economy,Neutral
Congress ka joakr ab toilet par tax laga raha hai LOP ke naam par dhabba hai,76.0,congress ka joakr ab toilet par tax laga raha hai lop ke naam par dhabba hai,Economy,Neutral
HIMACHAL KA BHI BOL DE NAA THODA SA WO TOILET TAX KA KYA HUA,60.0,himachal ka bhi bol de naa thoda sa wo toilet tax ka kya hua,Economy,Neutral
Congress ka joakr ab toilet par tax laga raha hai LOP ke naam par dhabba hai,76.0,congress ka joakr ab toilet par tax laga raha hai lop ke naam par dhabba hai,Economy,Neutral
HIMACHAL KA BHI BOL DE NAA THODA SA WO TOILET TAX KA KYA HUA,60.0,himachal ka bhi bol de naa thoda sa wo toilet tax ka kya hua,Economy,Neutral
Congress ka joakr ab toilet par tax laga raha hai LOP ke naam par dhabba hai,76.0,congress ka joakr ab toilet par tax laga raha hai lop ke naam par dhabba hai,Economy,Neutral
HIMACHAL KA BHI BOL DE NAA THODA SA WO TOILET TAX KA KYA HUA,60.0,himachal ka bhi bol de naa thoda sa wo toilet tax ka kya hua,Economy,Neutral
Congress ka joakr ab toilet par tax laga raha hai LOP ke naam par dhabba hai,76.0,congress ka joakr ab toilet par tax laga raha hai lop ke naam par dhabba hai,Economy,Neutral
HIMACHAL KA BHI BOL DE NAA THODA SA WO TOILET TAX KA KYA HUA,60.0,himachal ka bhi bol de naa thoda sa wo toilet tax ka kya hua,Economy,Neutral
Congress ka joakr ab toilet par tax laga raha hai LOP ke naam par dhabba hai,76.0,congress ka joakr ab toilet par tax laga raha hai lop ke naam par dhabba hai,Economy,Neutral
HIMACHAL KA BHI BOL DE NAA THODA SA WO TOILET TAX KA KYA HUA,60.0,himachal ka bhi bol de naa thoda sa wo toilet tax ka kya hua,Economy,Neutral
Congress ka joakr ab toilet par tax laga raha hai LOP ke naam par dhabba hai,76.0,congress ka joakr ab toilet par tax laga raha hai lop ke naam par dhabba hai,Economy,Neutral
HIMACHAL KA BHI BOL DE NAA THODA SA WO TOILET TAX KA KYA HUA,60.0,himachal ka bhi bol de naa thoda sa wo toilet tax ka kya hua,Economy,Neutral
Congress ka joakr ab toilet par tax laga raha hai LOP ke naam par dhabba hai,76.0,congress ka joakr ab toilet par tax laga raha hai lop ke naam par dhabba hai,Economy,Neutral
HIMACHAL KA BHI BOL DE NAA THODA SA WO TOILET TAX KA KYA HUA,60.0,himachal ka bhi bol de naa thoda sa wo toilet tax ka kya hua,Economy,Neutral
Congress ka joakr ab toilet par tax laga raha hai LOP ke naam par dhabba hai,76.0,congress ka joakr ab toilet par tax laga raha hai lop ke naam par dhabba hai,Economy,Neutral
HIMACHAL KA BHI BOL DE NAA THODA SA WO TOILET TAX KA KYA HUA,60.0,himachal ka bhi bol de naa thoda sa wo toilet tax ka kya hua,Economy,Neutral
Congress ka joakr ab toilet par tax laga raha hai LOP ke naam par dhabba hai,76.0,congress ka joakr ab toilet par tax laga raha hai lop ke naam par dhabba hai,Economy,Neutral
HIMACHAL KA BHI BOL DE NAA THODA SA WO TOILET TAX KA KYA HUA,60.0,himachal ka bhi bol de naa thoda sa wo toilet tax ka kya hua,Economy,Neutral
Congress ka joakr ab toilet par tax laga raha hai LOP ke naam par dhabba hai,76.0,congress ka joakr ab toilet par tax laga raha hai lop ke naam par dhabba hai,Economy,Neutral
HIMACHAL KA BHI BOL DE NAA THODA SA WO TOILET TAX KA KYA HUA,60.0,himachal ka bhi bol de naa thoda sa wo toilet tax ka kya hua,Economy,Neutral
Congress ka joakr ab toilet par tax laga raha hai LOP ke naam par dhabba hai,76.0,congress ka joakr ab toilet par tax laga raha hai lop ke naam par dhabba hai,Economy,Neutral
HIMACHAL KA BHI BOL DE NAA THODA SA WO TOILET TAX KA KYA HUA,60.0,himachal ka bhi bol de naa thoda sa wo toilet tax ka kya hua,Economy,Neutral
Congress ka joakr ab toilet par tax laga raha hai LOP ke naam par dhabba hai,76.0,congress ka joakr ab toilet par tax laga raha hai lop ke naam par dhabba hai,Economy,Neutral
HIMACHAL KA BHI BOL DE NAA THODA SA WO TOILET TAX KA KYA HUA,60.0,himachal ka bhi bol de naa thoda sa wo toilet tax ka kya hua,Economy,Neutral
Congress ka joakr ab toilet par tax laga raha hai LOP ke naam par dhabba hai,76.0,congress ka joakr ab toilet par tax laga raha hai lop ke naam par dhabba hai,Economy,Neutral
HIMACHAL KA BHI BOL DE NAA THODA SA WO TOILET TAX KA KYA HUA,60.0,himachal ka bhi bol de naa thoda sa wo toilet tax ka kya hua,Economy,Neutral
Congress ka joakr ab toilet par tax laga raha hai LOP ke naam par dhabba hai,76.0,congress ka joakr ab toilet par tax laga raha hai lop ke naam par dhabba hai,Economy,Neutral
HIMACHAL KA BHI BOL DE NAA THODA SA WO TOILET TAX KA KYA HUA,60.0,himachal ka bhi bol de naa thoda sa wo toilet tax ka kya hua,Economy,Neutral
Congress ka joakr ab toilet par tax laga raha hai LOP ke naam par dhabba hai,76.0,congress ka joakr ab toilet par tax laga raha hai lop ke naam par dhabba hai,Economy,Neutral
HIMACHAL KA BHI BOL DE NAA THODA SA WO TOILET TAX KA KYA HUA,60.0,himachal ka bhi bol de naa thoda sa wo toilet tax ka kya hua,Economy,Neutral
Congress ka joakr ab toilet par tax laga raha hai LOP ke naam par dhabba hai,76.0,congress ka joakr ab toilet par tax laga raha hai lop ke naam par dhabba hai,Economy,Neutral
HIMACHAL KA BHI BOL DE NAA THODA SA WO TOILET TAX KA KYA HUA,60.0,himachal ka bhi bol de naa thoda sa wo toilet tax ka kya hua,Economy,Neutral
Congress ka joakr ab toilet par tax laga raha hai LOP ke naam par dhabba hai,76.0,congress ka joakr ab toilet par tax laga raha hai lop ke naam par dhabba hai,Economy,Neutral
HIMACHAL KA BHI BOL DE NAA THODA SA WO TOILET TAX KA KYA HUA,60.0,himachal ka bhi bol de naa thoda sa wo toilet tax ka kya hua,Economy,Neutral
Congress ka joakr ab toilet par tax laga raha hai LOP ke naam par dhabba hai,76.0,congress ka joakr ab toilet par tax laga raha hai lop ke naam par dhabba hai,Economy,Neutral
HIMACHAL KA BHI BOL DE NAA THODA SA WO TOILET TAX KA KYA HUA,60.0,himachal ka bhi bol de naa thoda sa wo toilet tax ka kya hua,Economy,Neutral
Congress ka joakr ab toilet par tax laga raha hai LOP ke naam par dhabba hai,76.0,congress ka joakr ab toilet par tax laga raha hai lop ke naam par dhabba hai,Economy,Neutral
HIMACHAL KA BHI BOL DE NAA THODA SA WO TOILET TAX KA KYA HUA,60.0,himachal ka bhi bol de naa thoda sa wo toilet tax ka kya hua,Economy,Neutral
Congress ka joakr ab toilet par tax laga raha hai LOP ke naam par dhabba hai,76.0,congress ka joakr ab toilet par tax laga raha hai lop ke naam par dhabba hai,Economy,Neutral
HIMACHAL KA BHI BOL DE NAA THODA SA WO TOILET TAX KA KYA HUA,60.0,himachal ka bhi bol de naa thoda sa wo toilet tax ka kya hua,Economy,Neutral
Congress ka joakr ab toilet par tax laga raha hai LOP ke naam par dhabba hai,76.0,congress ka joakr ab toilet par tax laga raha hai lop ke naam par dhabba hai,Economy,Neutral
HIMACHAL KA BHI BOL DE NAA THODA SA WO TOILET TAX KA KYA HUA,60.0,himachal ka bhi bol de naa thoda sa wo toilet tax ka kya hua,Economy,Neutral
Congress ka joakr ab toilet par tax laga raha hai LOP ke naam par dhabba hai,76.0,congress ka joakr ab toilet par tax laga raha hai lop ke naam par dhabba hai,Economy,Neutral
HIMACHAL KA BHI BOL DE NAA THODA SA WO TOILET TAX KA KYA HUA,60.0,himachal ka bhi bol de naa thoda sa wo toilet tax ka kya hua,Economy,Neutral
Congress ka joakr ab toilet par tax laga raha hai LOP ke naam par dhabba hai,76.0,congress ka joakr ab toilet par tax laga raha hai lop ke naam par dhabba hai,Economy,Neutral
HIMACHAL KA BHI BOL DE NAA THODA SA WO TOILET TAX KA KYA HUA,60.0,himachal ka bhi bol de naa thoda sa wo toilet tax ka kya hua,Economy,Neutral
Congress ka joakr ab toilet par tax laga raha hai LOP ke naam par dhabba hai,76.0,congress ka joakr ab toilet par tax laga raha hai lop ke naam par dhabba hai,Economy,Neutral
HIMACHAL KA BHI BOL DE NAA THODA SA WO TOILET TAX KA KYA HUA,60.0,himachal ka bhi bol de naa thoda sa wo toilet tax ka kya hua,Economy,Neutral
Congress ka joakr ab toilet par tax laga raha hai LOP ke naam par dhabba hai,76.0,congress ka joakr ab toilet par tax laga raha hai lop ke naam par dhabba hai,Economy,Neutral
HIMACHAL KA BHI BOL DE NAA THODA SA WO TOILET TAX KA KYA HUA,60.0,himachal ka bhi bol de naa thoda sa wo toilet tax ka kya hua,Economy,Neutral
Congress ka joakr ab toilet par tax laga raha hai LOP ke naam par dhabba hai,76.0,congress ka joakr ab toilet par tax laga raha hai lop ke naam par dhabba hai,Economy,Neutral
HIMACHAL KA BHI BOL DE NAA THODA SA WO TOILET TAX KA KYA HUA,60.0,himachal ka bhi bol de naa thoda sa wo toilet tax ka kya hua,Economy,Neutral
Congress ka joakr ab toilet par tax laga raha hai LOP ke naam par dhabba hai,76.0,congress ka joakr ab toilet par tax laga raha hai lop ke naam par dhabba hai,Economy,Neutral
HIMACHAL KA BHI BOL DE NAA THODA SA WO TOILET TAX KA KYA HUA,60.0,himachal ka bhi bol de naa thoda sa wo toilet tax ka kya hua,Economy,Neutral
Congress ka joakr ab toilet par tax laga raha hai LOP ke naam par dhabba hai,76.0,congress ka joakr ab toilet par tax laga raha hai lop ke naam par dhabba hai,Economy,Neutral
HIMACHAL KA BHI BOL DE NAA THODA SA WO TOILET TAX KA KYA HUA,60.0,himachal ka bhi bol de naa thoda sa wo toilet tax ka kya hua,Economy,Neutral
Congress ka joakr ab toilet par tax laga raha hai LOP ke naam par dhabba hai,76.0,congress ka joakr ab toilet par tax laga raha hai lop ke naam par dhabba hai,Economy,Neutral
HIMACHAL KA BHI BOL DE NAA THODA SA WO TOILET TAX KA KYA HUA,60.0,himachal ka bhi bol de naa thoda sa wo toilet tax ka kya hua,Economy,Neutral
Congress ka joakr ab toilet par tax laga raha hai LOP ke naam par dhabba hai,76.0,congress ka joakr ab toilet par tax laga raha hai lop ke naam par dhabba hai,Economy,Neutral
HIMACHAL KA BHI BOL DE NAA THODA SA WO TOILET TAX KA KYA HUA,60.0,himachal ka bhi bol de naa thoda sa wo toilet tax ka kya hua,Economy,Neutral
Congress ka joakr ab toilet par tax laga raha hai LOP ke naam par dhabba hai,76.0,congress ka joakr ab toilet par tax laga raha hai lop ke naam par dhabba hai,Economy,Neutral
Toilet tax,10.0,toilet tax,Economy,Neutral
Jo power mein hai uski agency hai kyun na inko independence de di jaye bill lao aur vote pao,92.0,jo power mein hai uski agency hai kyun na inko independence de di jaye bill lao aur vote pao,Politics,Neutral
"Sir, I just want an answer from your side why the economic difference between China and India. Why is the per capita income of Indians too low. Is Not considered as a failure for Congress party and government policy.",216.0,sir i just want an answer from your side why the economic difference between china and india why is the per capita income of indians too low is not considered as a failure for congress party and government policy,Politics,Neutral
sorry sir jab takk aap Mahira homes fraud ke baare mein kuch nahin kar sakte tabb takk aap 5000 voters ke liye useless hain.,124.0,sorry sir jab takk aap mahira homes fraud ke baare mein kuch nahin kar sakte tabb takk aap  voters ke liye useless hain,Politics,Neutral
Congratulations Thalaivar Janab RAHULJI IS our beloved Leader And SHER (LION) FOR ENTIRE CONGRESS COMMITTEE MEMBERS 👏 RAHULJI JINDABAD 🇮🇳,137.0,congratulations thalaivar janab rahulji is our beloved leader and sher lion for entire congress committee members  rahulji jindabad,Politics,Positive
"By now ,with the Haryana results , he would have made out that he is not cut out for politics...Strategy banaane ke liye primarily dimag chahiye rehtha hai #HaryanaElections",173.0,by now with the haryana results  he would have made out that he is not cut out for politicsstrategy banaane ke liye primarily dimag chahiye rehtha hai haryanaelections,Politics,Neutral
Citizens are afraid of your Khata khat ??? Now new Tax to Tax ???,65.0,citizens are afraid of your khata khat  now new tax to tax,Economy,Neutral
"भईया जलेबी की फैक्ट्री भी लगवा दीजिएगा, मोहब्बत की दुकान के साथ। हरियाणा वाले भी अदानी अंबानी की तरह जलेबी बेचकर अमीर हो जायेंगे। #HariyanaElection2024",151.0,hariyanaelection,Politics,Neutral
Jalebi ki factory aur toilet seat par tax.!!!!!!!!,50.0,jalebi ki factory aur toilet seat par tax,Economy,Neutral
