tweet,tweet_length,cleaned_tweet,topic,sentiment
कांग्रेसी बबर शेरो अपने Tiger 🐅 से पूछो कि ये मामला क्या है ? वोटरों से ताक़ीद है किः हर कांग्रेसी से पूछे कि ‘Toilet Tax’ तो नहीं लोगों के उपर थोपेंगे ? हिमाचल प्रदेश में कांग्रेस सरकार ने Toilet Tax खटा-खट ठोक दिया है… ऐक ज़माने में कांग्रेसियों ने ‘चुलहा टैक्स’ लगाया था…🙄,275.0,tiger                    toilet tax              toilet tax,Economy,Neutral
What do you say about Zakir Naik's visit to Pak. Are you ready to promise he will be eliminated for hate speeches against Hindus. Will Mr Hooda ensure that all Hindus &amp; Sikhs are safe in Haryana. I appeal everyone to vote judiciously tomorrow.यह दुकान सिर्फ़ Naik जैसों के लिए है,283.0,what do you say about zakir naiks visit to pak are you ready to promise he will be eliminated for hate speeches against hindus will mr hooda ensure that all hindus amp sikhs are safe in haryana i appeal everyone to vote judiciously tomorrow   naik,Politics,Negative
#HariyanaElection2024,21.0,hariyanaelection,Politics,Neutral
Democracy has ended in India officially -Haryana election results are proof.,76.0,democracy has ended in india officially haryana election results are proof,Politics,Neutral
Please dont vote congress we telagana people are suffering🙏save your State form congress before you vote just call any of you friends in telagana,145.0,please dont vote congress we telagana people are sufferingsave your state form congress before you vote just call any of you friends in telagana,Politics,Neutral
People of Haryana Just see Telagana news and vote congress,58.0,people of haryana just see telagana news and vote congress,Politics,Neutral
Dont Vote congress,18.0,dont vote congress,Politics,Neutral
"Please dont vote congress and dont bely congress ,just see conditions in our state Telangana and vote for congress dont believe Rahul promises",142.0,please dont vote congress and dont bely congress just see conditions in our state telangana and vote for congress dont believe rahul promises,Politics,Neutral
What this? Kavee Sammelan or Vote Baaji?,40.0,what this kavee sammelan or vote baaji,Politics,Neutral
Uncle the dunki route also costs in lacs but I guess you don't use logic. But I salute your capabilities to find Indian gareeb victims in any part of the world. Just elections should be around the corner. 🫡🫡,207.0,uncle the dunki route also costs in lacs but i guess you dont use logic but i salute your capabilities to find indian gareeb victims in any part of the world just elections should be around the corner,Politics,Neutral
Haryana assembly elections Congress Jeetegi,43.0,haryana assembly elections congress jeetegi,Politics,Neutral
Congress Haryana me Government bnane ja rhi hai..,49.0,congress haryana me government bnane ja rhi hai,Politics,Neutral
Herald of a new era in Indian politics As signs her nomination papers in the presence of local Congress leaders for Wayanad,123.0,herald of a new era in indian politics as signs her nomination papers in the presence of local congress leaders for wayanad,Politics,Neutral
Herald of a new era in Indian politics As signs her nomination papers in the presence of local Congress leaders for Wayanad,123.0,herald of a new era in indian politics as signs her nomination papers in the presence of local congress leaders for wayanad,Politics,Neutral
Herald of a new era in Indian politics As signs her nomination papers in the presence of local Congress leaders for Wayanad,123.0,herald of a new era in indian politics as signs her nomination papers in the presence of local congress leaders for wayanad,Politics,Neutral
Herald of a new era in Indian politics As signs her nomination papers in the presence of local Congress leaders for Wayanad,123.0,herald of a new era in indian politics as signs her nomination papers in the presence of local congress leaders for wayanad,Politics,Neutral
Herald of a new era in Indian politics As signs her nomination papers in the presence of local Congress leaders for Wayanad,123.0,herald of a new era in indian politics as signs her nomination papers in the presence of local congress leaders for wayanad,Politics,Neutral
Herald of a new era in Indian politics As signs her nomination papers in the presence of local Congress leaders for Wayanad,123.0,herald of a new era in indian politics as signs her nomination papers in the presence of local congress leaders for wayanad,Politics,Neutral
Herald of a new era in Indian politics As signs her nomination papers in the presence of local Congress leaders for Wayanad,123.0,herald of a new era in indian politics as signs her nomination papers in the presence of local congress leaders for wayanad,Politics,Neutral
Herald of a new era in Indian politics As signs her nomination papers in the presence of local Congress leaders for Wayanad,123.0,herald of a new era in indian politics as signs her nomination papers in the presence of local congress leaders for wayanad,Politics,Neutral
Herald of a new era in Indian politics As signs her nomination papers in the presence of local Congress leaders for Wayanad,123.0,herald of a new era in indian politics as signs her nomination papers in the presence of local congress leaders for wayanad,Politics,Neutral
Herald of a new era in Indian politics As signs her nomination papers in the presence of local Congress leaders for Wayanad,123.0,herald of a new era in indian politics as signs her nomination papers in the presence of local congress leaders for wayanad,Politics,Neutral
Herald of a new era in Indian politics As signs her nomination papers in the presence of local Congress leaders for Wayanad,123.0,herald of a new era in indian politics as signs her nomination papers in the presence of local congress leaders for wayanad,Politics,Neutral
Herald of a new era in Indian politics As signs her nomination papers in the presence of local Congress leaders for Wayanad,123.0,herald of a new era in indian politics as signs her nomination papers in the presence of local congress leaders for wayanad,Politics,Neutral
Herald of a new era in Indian politics As signs her nomination papers in the presence of local Congress leaders for Wayanad,123.0,herald of a new era in indian politics as signs her nomination papers in the presence of local congress leaders for wayanad,Politics,Neutral
Herald of a new era in Indian politics As signs her nomination papers in the presence of local Congress leaders for Wayanad,123.0,herald of a new era in indian politics as signs her nomination papers in the presence of local congress leaders for wayanad,Politics,Neutral
Herald of a new era in Indian politics As signs her nomination papers in the presence of local Congress leaders for Wayanad,123.0,herald of a new era in indian politics as signs her nomination papers in the presence of local congress leaders for wayanad,Politics,Neutral
Herald of a new era in Indian politics As signs her nomination papers in the presence of local Congress leaders for Wayanad,123.0,herald of a new era in indian politics as signs her nomination papers in the presence of local congress leaders for wayanad,Politics,Neutral
Herald of a new era in Indian politics As signs her nomination papers in the presence of local Congress leaders for Wayanad,123.0,herald of a new era in indian politics as signs her nomination papers in the presence of local congress leaders for wayanad,Politics,Neutral
Herald of a new era in Indian politics As signs her nomination papers in the presence of local Congress leaders for Wayanad,123.0,herald of a new era in indian politics as signs her nomination papers in the presence of local congress leaders for wayanad,Politics,Neutral
Herald of a new era in Indian politics As signs her nomination papers in the presence of local Congress leaders for Wayanad,123.0,herald of a new era in indian politics as signs her nomination papers in the presence of local congress leaders for wayanad,Politics,Neutral
Herald of a new era in Indian politics As signs her nomination papers in the presence of local Congress leaders for Wayanad,123.0,herald of a new era in indian politics as signs her nomination papers in the presence of local congress leaders for wayanad,Politics,Neutral
Herald of a new era in Indian politics As signs her nomination papers in the presence of local Congress leaders for Wayanad,123.0,herald of a new era in indian politics as signs her nomination papers in the presence of local congress leaders for wayanad,Politics,Neutral
Herald of a new era in Indian politics As signs her nomination papers in the presence of local Congress leaders for Wayanad,123.0,herald of a new era in indian politics as signs her nomination papers in the presence of local congress leaders for wayanad,Politics,Neutral
Herald of a new era in Indian politics As signs her nomination papers in the presence of local Congress leaders for Wayanad,123.0,herald of a new era in indian politics as signs her nomination papers in the presence of local congress leaders for wayanad,Politics,Neutral
Herald of a new era in Indian politics As signs her nomination papers in the presence of local Congress leaders for Wayanad,123.0,herald of a new era in indian politics as signs her nomination papers in the presence of local congress leaders for wayanad,Politics,Neutral
Herald of a new era in Indian politics As signs her nomination papers in the presence of local Congress leaders for Wayanad,123.0,herald of a new era in indian politics as signs her nomination papers in the presence of local congress leaders for wayanad,Politics,Neutral
Herald of a new era in Indian politics As signs her nomination papers in the presence of local Congress leaders for Wayanad,123.0,herald of a new era in indian politics as signs her nomination papers in the presence of local congress leaders for wayanad,Politics,Neutral
Herald of a new era in Indian politics As signs her nomination papers in the presence of local Congress leaders for Wayanad,123.0,herald of a new era in indian politics as signs her nomination papers in the presence of local congress leaders for wayanad,Politics,Neutral
Herald of a new era in Indian politics As signs her nomination papers in the presence of local Congress leaders for Wayanad,123.0,herald of a new era in indian politics as signs her nomination papers in the presence of local congress leaders for wayanad,Politics,Neutral
Herald of a new era in Indian politics As signs her nomination papers in the presence of local Congress leaders for Wayanad,123.0,herald of a new era in indian politics as signs her nomination papers in the presence of local congress leaders for wayanad,Politics,Neutral
Herald of a new era in Indian politics As signs her nomination papers in the presence of local Congress leaders for Wayanad,123.0,herald of a new era in indian politics as signs her nomination papers in the presence of local congress leaders for wayanad,Politics,Neutral
Herald of a new era in Indian politics As signs her nomination papers in the presence of local Congress leaders for Wayanad,123.0,herald of a new era in indian politics as signs her nomination papers in the presence of local congress leaders for wayanad,Politics,Neutral
Herald of a new era in Indian politics As signs her nomination papers in the presence of local Congress leaders for Wayanad,123.0,herald of a new era in indian politics as signs her nomination papers in the presence of local congress leaders for wayanad,Politics,Neutral
Herald of a new era in Indian politics As signs her nomination papers in the presence of local Congress leaders for Wayanad,123.0,herald of a new era in indian politics as signs her nomination papers in the presence of local congress leaders for wayanad,Politics,Neutral
Herald of a new era in Indian politics As signs her nomination papers in the presence of local Congress leaders for Wayanad,123.0,herald of a new era in indian politics as signs her nomination papers in the presence of local congress leaders for wayanad,Politics,Neutral
Please dont vote congress we telagana people are suffering🙏save your State form congress before you vote just call any of you friends in telagana,145.0,please dont vote congress we telagana people are sufferingsave your state form congress before you vote just call any of you friends in telagana,Politics,Neutral
What's your education level !The cheap and false comments may give you some electoral advantage and cheer your blind followers but in reality it affects your personality. You are lowering the level of discourse.,211.0,whats your education level the cheap and false comments may give you some electoral advantage and cheer your blind followers but in reality it affects your personality you are lowering the level of discourse,Education,Neutral
राहुल गाँधी गायब हो गये| 5600 करोड़ के ड्रग्स मामले में कांग्रेस नेता गिरफ्तार| बीजेपी ने राहुल गांधी पर साधा निशाना Rahul Gandhi disappeared. Congress leader arrested in 5600 crore drug case. BJP targets Rahul Gandhi,217.0,rahul gandhi disappeared congress leader arrested in  crore drug case bjp targets rahul gandhi,Politics,Neutral
"Please dont vote congress and dont bely congress ,just see conditions in our state Telangana and vote for congress dont believe Rahul promises",142.0,please dont vote congress and dont bely congress just see conditions in our state telangana and vote for congress dont believe rahul promises,Politics,Neutral
Congress party's in Mr.Rahul Gandhi so definitely works there people find benefits if they place leader make Mr.Rahul Gandhi,124.0,congress partys in mrrahul gandhi so definitely works there people find benefits if they place leader make mrrahul gandhi,Politics,Neutral
"Jay shree krishna, Jay Congress, Jay SAMVIDHAN, Jay Hindustan, Voice of Nation, LoP, People's Leader, Jananayaak, Hindustan ka awaz Shaan Maan Eman, Rahul Gandhi Jindabad, Jay Jawan Jay Kishan, Jay Hind 🇮🇳.",206.0,jay shree krishna jay congress jay samvidhan jay hindustan voice of nation lop peoples leader jananayaak hindustan ka awaz shaan maan eman rahul gandhi jindabad jay jawan jay kishan jay hind,Politics,Negative
Rahul Gandhi voice of India.Hariyana election support 😊,55.0,rahul gandhi voice of indiahariyana election support,Politics,Neutral
Rahul Gandhi voice of India.Hariyana election support,53.0,rahul gandhi voice of indiahariyana election support,Politics,Neutral
Nuh jit rahe he ch tahir Hussain jindabad vote for chasma INLD,62.0,nuh jit rahe he ch tahir hussain jindabad vote for chasma inld,Politics,Negative
"जय माता दी राहुल जी Respected sir, need of hour 1. Population control act 2. पोलीथीन मुक्त भारत 3. One nation one Law 4. One nation one education. 5. One nation one election",173.0,respected sir need of hour  population control act      one nation one law  one nation one education  one nation one election,Education,Neutral
Please dont vote congress we telagana people are suffering🙏save your State form congress before you vote just call any of you friends in telagana,145.0,please dont vote congress we telagana people are sufferingsave your state form congress before you vote just call any of you friends in telagana,Politics,Neutral
"जितनी गरीबो पर राहुल को दया अब आ रहीं हैं इतनी 2004 में आती तो congress कभी election हारती नहीं, जब राजीव गांधी जी picnics मनाने के लिए INS विराट aircraft carrier को as a पिकनिक बोट ईस्तेमाल करेंगे तो navy,आर्मी, airforce का morals कहाँ जाएगा, ships के movements बहुत बड़ा अपराध",278.0,congress  election       picnics    ins  aircraft carrier  as a      navy airforce  morals   ships  movements,Politics,Neutral
Suniye sri lal Bahadur Shastri ke driver se kuch batein congress ka sach iske bad bhee kuch jaichand congress ko vote dete hain 😡😡,130.0,suniye sri lal bahadur shastri ke driver se kuch batein congress ka sach iske bad bhee kuch jaichand congress ko vote dete hain,Politics,Negative
Jharkhand ayee paper lut giroh klye kuch bolye Sirf vote lne time hi ayeega,75.0,jharkhand ayee paper lut giroh klye kuch bolye sirf vote lne time hi ayeega,Politics,Neutral
Hey please check and remove your leaders from the Sports Federation Body,72.0,hey please check and remove your leaders from the sports federation body,Politics,Neutral
"Khelo india has developed sports infrastructure from University level to India is going to conduct the Olympics in 2036 . Congress never ever spent on sports infrastructure rather they organised asiad where corruption, contracts defame the sports .",248.0,khelo india has developed sports infrastructure from university level to india is going to conduct the olympics in   congress never ever spent on sports infrastructure rather they organised asiad where corruption contracts defame the sports,Education,Neutral
"Pls ensure that Congress works passionately on d path of its founding fathers. India must be the most developed and prosperous nation. Can education, health and skill development get maximum chuck of budget in center and states and UTs?",236.0,pls ensure that congress works passionately on d path of its founding fathers india must be the most developed and prosperous nation can education health and skill development get maximum chuck of budget in center and states and uts,Healthcare,Neutral
Abe hutiye teri government thi tab kya hal tha sabko pata hai tere jaisa harami koi nahi ho skta bharat ka gaddar,113.0,abe hutiye teri government thi tab kya hal tha sabko pata hai tere jaisa harami koi nahi ho skta bharat ka gaddar,Politics,Neutral
Sir FNO ka rule change kar diye hai jo lot 1/2 lack ka tha abb woh 15/20 lack ka kar diye hai gove ne ... retail trader ko maarne ko .. or financial institutions ko benefit dena hi motive hai... or equity par bi 5% tax increases kar diya gya hai.unemployment to already bahut hai,279.0,sir fno ka rule change kar diye hai jo lot  lack ka tha abb woh  lack ka kar diye hai gove ne  retail trader ko maarne ko  or financial institutions ko benefit dena hi motive hai or equity par bi  tax increases kar diya gya haiunemployment to already bahut hai,Economy,Neutral
What did get in return for praising the Chinese Economy during his recent US Visit? Here is an independent video on the state of the Chinese Economy.,149.0,what did get in return for praising the chinese economy during his recent us visit here is an independent video on the state of the chinese economy,Economy,Neutral
"Pls. Take a note for Haryana, ultimately INDIA 🇮🇳👍🏻 Haryana needs Younger Leadership CM/Dy.CM...etc. with maximum Women's empowerments👍🏻💯 No. Temporary, Sidharamya Style in Haryana, Never-ever! It will demage PM/Rahul Congress image in INDIA 🇮🇳👍🏻 Open &amp; Transparent 🪔🪔🪔🪔🪔",275.0,pls take a note for haryana ultimately india  haryana needs younger leadership cmdycmetc with maximum womens empowerments no temporary sidharamya style in haryana neverever it will demage pmrahul congress image in india  open amp transparent,Politics,Neutral
தமிழன் காமராஜர் Everyone reminded our kamarajar. Because tamil nadu education father.🇮🇳,87.0,everyone reminded our kamarajar because tamil nadu education father,Education,Neutral
"K.Kamraj hailed from Tamil Nadu but is a NATIONAL leader remembered as a powerful Congress President, who presided over the transition from LB Shastri to Indiraji, heralding generational shift in the party. The ‘Kamraj Plan’ of Nehru’s reign was the beginning of this change",274.0,kkamraj hailed from tamil nadu but is a national leader remembered as a powerful congress president who presided over the transition from lb shastri to indiraji heralding generational shift in the party the kamraj plan of nehrus reign was the beginning of this change,Politics,Neutral
You and Congress party are not eligible to pronounce K.Kamaraj name ..! He is a role model for a true people leader. Drama group stay away...!,142.0,you and congress party are not eligible to pronounce kkamaraj name  he is a role model for a true people leader drama group stay away,Politics,Neutral
"It's an Emergency with food distribution. Make the Hospitality persons help reducing diseases spread from Distributors or Cooking person or Security. So, make Medical Camp for Blood checkup on AIDS, Corona, BP, Sugar, Maleria, Cholera &amp; Cancer prone employees &amp; make them resign.",287.0,its an emergency with food distribution make the hospitality persons help reducing diseases spread from distributors or cooking person or security so make medical camp for blood checkup on aids corona bp sugar maleria cholera amp cancer prone employees amp make them resign,Healthcare,Neutral
"Ever since the appointment of Indira Gandhi as the Prime Minister, indifference arose between her and the top leaders of the Congress, termed as the ""Syndicate"", led by Kamaraj. After the Congress victory in the 1967 Indian general election, the rift began to widen and Indira…",277.0,ever since the appointment of indira gandhi as the prime minister indifference arose between her and the top leaders of the congress termed as the syndicate led by kamaraj after the congress victory in the  indian general election the rift began to widen and indira,Politics,Neutral
How much Congress valued Kamraj ... He was the last leader from Tamilnad at national level. In the last 40 years Congress could not win Tamilnad. Learn from Congress how to lose,177.0,how much congress valued kamraj  he was the last leader from tamilnad at national level in the last  years congress could not win tamilnad learn from congress how to lose,Politics,Neutral
"Thank God we had leaders like shri k kamaraj ji not like yogi adityanath, hemant Biswa sarma and Mamata Banerjee",112.0,thank god we had leaders like shri k kamaraj ji not like yogi adityanath hemant biswa sarma and mamata banerjee,Politics,Neutral
"Rahul ji, I'm common person from Telangana state. My request please see how your government ruling Telangana. If you think everything is fine then forgot abt to become PM.",171.0,rahul ji im common person from telangana state my request please see how your government ruling telangana if you think everything is fine then forgot abt to become pm,Politics,Neutral
"Anti nationalist like u r don’t have rights to speak about 🇮🇳 nation leaders, they were truly worked for 🇮🇳 but as an opposition leader what u did?Scolding and trying to destabilising Indians when u visit foreign Do u speak about ur family like this in front of outsiders sir?",276.0,anti nationalist like u r dont have rights to speak about  nation leaders they were truly worked for  but as an opposition leader what u didscolding and trying to destabilising indians when u visit foreign do u speak about ur family like this in front of outsiders sir,Politics,Neutral
He most selfless man in indian history. In death bed he is having 120 rs only Father of tamilnadu education. Strong ladder to medical student of unprivileged.,158.0,he most selfless man in indian history in death bed he is having  rs only father of tamilnadu education strong ladder to medical student of unprivileged,Education,Neutral
"He was an Honest Politician, Having presented Opportunity to become Prime Minister after the Death of Shri Lal Bahadur Shastri Ji, He didn't choose to become PM but tried to fight for the Unity of INC. Years after Smt. Sonia Gandhi Ji did The Same after 2004 General Election.",276.0,he was an honest politician having presented opportunity to become prime minister after the death of shri lal bahadur shastri ji he didnt choose to become pm but tried to fight for the unity of inc years after smt sonia gandhi ji did the same after  general election,Politics,Neutral
"His legacy followed by congress party from 7 decades , this country would have become number one in the world by this time , congress leaders made mega scams and destroyed the country by disregarding this great leader.",218.0,his legacy followed by congress party from  decades  this country would have become number one in the world by this time  congress leaders made mega scams and destroyed the country by disregarding this great leader,Politics,Positive
This great leader was defeated thanks to Dravidian parties whom you have ties now 🤣🤣🤣🤣🤣🤣,88.0,this great leader was defeated thanks to dravidian parties whom you have ties now,Politics,Positive
His education reforms were great,32.0,his education reforms were great,Education,Positive
Iconic leader from Tamilnadu? Indira Gandhi was an iconic leader from Raibareli? K Kamraj was the leader of a national status like Nehru.,137.0,iconic leader from tamilnadu indira gandhi was an iconic leader from raibareli k kamraj was the leader of a national status like nehru,Politics,Neutral
"Remembering K. Kamaraj, the visionary leader who played a crucial role in shaping India's destiny! His selfless dedication to the nation and upliftment of the marginalized continues to inspire generations. #KKamaraj #IndianHistory #Leadership",242.0,remembering k kamaraj the visionary leader who played a crucial role in shaping indias destiny his selfless dedication to the nation and upliftment of the marginalized continues to inspire generations kkamaraj indianhistory leadership,Politics,Neutral
One of the greatest leader ever,31.0,one of the greatest leader ever,Politics,Positive
"Tributes to Shri K. Kamaraj Ji on his death anniversary! His selfless service, humility &amp; dedication to empowering the marginalized inspire generations. Legacy: Free education Midday Meal Scheme Leadership in Congress split 1969 Bharat Ratna 1976 A true leader.",265.0,tributes to shri k kamaraj ji on his death anniversary his selfless service humility amp dedication to empowering the marginalized inspire generations legacy free education midday meal scheme leadership in congress split  bharat ratna  a true leader,Education,Neutral
"Paying heartfelt tributes to the legendary leader, Shri K. Kamaraj Ji. His unwavering commitment to education, equality, and the upliftment of the underprivileged is a beacon of hope for generations. May his visionary legacy continue to guide us towards a brighter, more inclusive…",281.0,paying heartfelt tributes to the legendary leader shri k kamaraj ji his unwavering commitment to education equality and the upliftment of the underprivileged is a beacon of hope for generations may his visionary legacy continue to guide us towards a brighter more inclusive,Education,Neutral
